"AAPL.Open","AAPL.High","AAPL.Low","AAPL.Close","AAPL.Volume","AAPL.Adjusted"
187.340002,187.699997,179.700001,182.220005,296950500,24.107428
181.859997,184.139996,177.699995,178.859995,240367400,23.662904
177.149996,180.900002,176.990005,179.810003,193449900,23.788588
182.889994,185.999998,182.409996,185.5,223100500,24.541366
186.190002,190.099998,186.120001,189.949995,224952700,25.130094
190.539995,194.990004,188.040005,194.300001,266516600,25.705593
193.589998,195.660006,192.690004,194.209999,180594400,25.693686
194.749998,196.830006,187.390003,188.540003,277731300,24.943554
193.439995,194.480005,185.760006,190.860003,306415200,25.250486
190.190001,192.120005,187.82,191.829998,216154400,25.378815
190.370005,193.200003,189.539999,190.390005,168578200,25.188306
190.719999,192.650003,182.979996,184.400002,256173400,24.395838
186.519997,187.330002,178.600002,182.979996,305650800,24.207973
182.979996,184.639994,180.900002,183.119999,206869600,24.226496
185.429998,187.83,183.330004,187.209999,193514300,24.767596
190.119999,193.910006,189.889994,193.910006,248490200,25.653997
195.030005,199.329996,194.789999,198.799997,120050700,26.300935
199.010002,200.959993,196.820005,198.950001,175933100,26.320781
198.950001,202.959999,197.800001,198.570005,198881900,26.270508
200.589998,201.559994,196.879993,199.829994,174911800,26.437202
199.5,200.499996,197.75,198.079994,134833300,26.20568
199.269995,200.260004,192.550001,194.84,269794700,25.777034
195.41,197.390005,192.690004,194.930002,210516600,25.788941
191.450003,192.999998,178.889996,180.049995,363958000,23.820339
181.249996,183.599997,170.229998,177.639994,518048300,23.501499
180.139997,182.459997,170.799997,171.249994,380954000,22.656112
171.299995,179.499996,168.299994,179.399994,453470500,23.734345
177.580006,181.000004,175.409996,178.020002,370743800,23.551774
175.999996,177.849998,170.000006,172.690001,308071400,22.846623
177.520004,179.419994,175.170004,178.780006,275112600,23.652321
177.719995,179.220003,164.660004,169.039997,585819500,22.363733
165.230003,169.009996,156.699995,159.639996,553461300,21.120127
161.509998,165.360006,158.419994,160.889997,439464900,21.2855
161.710003,165.750002,159.609995,161.359995,431085900,21.34768
148.059998,159.980003,146.000004,155.639997,608688500,20.590933
136.190006,140,126.140003,139.070005,843242400,18.398749
139.99,140.700003,132.010004,135.600006,501466700,17.939673
138.990004,139.090006,129.610003,130.009998,388684800,17.200124
128.159996,133.200005,126.449997,130.009998,368711000,17.200124
131.149998,132.789995,129.050003,131.540007,274995700,17.402542
131.370003,135.450003,129.999998,132.179995,310762900,17.487211
129.449999,136.650003,129.399998,135.360001,336418600,17.907921
136.239994,136.590002,132.179995,133.750004,252686000,17.694921
134.210001,135.9,131.420004,131.649996,224808500,17.417093
130.429995,133.999996,128.9,129.359997,285260500,17.11413
130.830004,131.920002,121.769997,122.000002,393318100,16.140414
119.969995,124.779999,117.27,121.239998,520832900,16.039866
122.080004,125.700006,121.600006,125.480001,338993200,16.600812
128.010006,129.979998,127.200001,129.449999,300358100,17.126037
130.700001,130.999994,123.619999,124.860001,306495000,16.518787
126.680002,129.780006,125.630005,129.399998,242133500,17.119422
129.399998,130.800003,127.009996,127.459993,238524300,16.862762
126.270006,127.079998,124.059996,124.629995,225325100,16.488358
125.99,126.750004,121.440002,122.180006,251261500,16.164228
122.200006,124.599995,121.679995,123.820004,241859800,16.381197
126.050001,126.469997,120.860003,121.540005,234528700,16.079557
122.48,122.51,115.869995,119.459997,382469500,15.804375
118.590004,120.17,116.66,119.740004,314193600,15.841419
117.639996,121.089994,115.439999,119.150003,376222000,15.763363
118.229996,123.049999,118.090006,122.959997,368784500,16.267419
127.200001,132.199995,125.769995,129.909996,404563600,17.186894
129.289995,130.210003,124.799999,125.020004,313870200,16.539955
124.440004,125.98,118.000004,121.729996,398260800,16.104692
121.990002,124.880001,120.400005,124.619995,446345900,16.487035
123.579998,125.139994,122.249994,124.490005,305459000,16.469837
124.609995,127.499994,120.810001,120.930004,368424700,15.998854
120.410006,122.979998,119.050001,122.249994,307615700,16.173487
121.980001,123.459995,119.369995,119.690002,249897200,15.834804
124.099997,127.479994,122.000002,127.350004,290985800,16.848211
127.039997,128.679995,125.169994,126.030001,264907300,16.673576
124.099997,129.5,122.999998,127.940004,315525700,16.926267
129.879995,130.300005,124.199999,126.610001,289160200,16.750309
122.550001,128.590006,122.550001,126.730003,268149700,16.766185
129.180006,133,128.669994,132.819996,301280000,17.571882
133.120003,134.290003,129.670004,129.670004,252634200,17.155143
131.119997,133.290007,129.180006,133.270006,227196900,17.631418
134.009996,140.850006,133.640001,139.530003,266730100,18.459606
139.959999,143.100004,137.330006,140.979996,263097800,18.651438
140.870007,145.739998,140.640001,145.059996,295521100,19.191215
144.950006,145.310001,139.99,140.250006,249957400,18.554861
141.800001,144.65,141.599997,143.010002,178652600,18.920004
143.269995,145.709997,142.520004,143.5,192016300,18.98483
146.299997,149.659994,143.610003,149.530005,258141800,19.782591
148.780001,151.200003,145.85,147.489998,261242100,19.512701
147.060001,153.630005,147,151.609999,262892000,20.057771
152.189999,154.710003,150.750006,153.080006,213604300,20.25225
156.129995,159.689997,155.109999,155.890003,289581600,20.624009
153.550003,156.450003,152.320002,152.84,253573600,20.220498
153.309998,153.889997,150.459999,151.439995,218349600,20.03528
151.130001,155.420006,150.600002,154.549999,238940800,20.446728
152.719997,153.299997,146.4,147.140003,302519000,19.466397
146.769995,149.249998,144.539997,147.780005,211271900,19.551068
149.400002,149.719995,145.719997,148.380005,174509300,19.630448
151.720001,154.100002,150.620003,153.700006,198943500,20.334276
154.170004,156.000006,153.349998,154.489998,176066800,20.43879
159.119997,162.260002,158.379993,161.040001,256691400,21.305346
162.210001,168.499998,161.760004,168.160004,259788200,22.247311
167.4,168,158.09,160.199995,359893100,21.194214
164.050003,164.839994,161.080002,162.890003,376047700,21.550098
165.340006,169.980005,159.189999,168.939995,424016600,22.350503
170.699995,171.100004,166.420004,169.73,248118500,22.455019
169.75,173.749998,169.129999,172.240004,196803600,22.787089
171.110004,175.660002,170.249998,175.050001,230869100,23.158847
176.190001,179.999994,172.920006,173.950003,284881100,23.013319
174.959999,179.999994,174.859997,179.999994,225894200,23.813724
180.189999,181.919998,178.550001,180.940002,251520500,23.938085
181.919998,185.309996,181.050005,184.729996,213639300,24.439496
184.659994,187.119997,182.180004,186.66,229717600,24.694832
186.049999,188.199995,180.540007,182.59,289283400,24.156378
183.77,186.499996,183.069998,185.060003,224771400,24.483155
183.16,184.249998,181.369999,183.450006,168268100,24.270155
185.209993,188.869997,182.850006,188.159994,204640800,24.893279
188.610004,191.450003,187.860001,189.959995,205809100,25.131417
191.229998,192.239994,185.570002,186.260004,229205900,24.641913
186.810003,189.899994,184.199997,189.730003,218302000,25.100989
190.109999,190.300003,186.999994,187.619995,191442300,24.821838
187.860001,188.690006,181.299997,183.599997,236455100,24.289999
181.819996,186.160002,180.119997,185.899996,242462500,24.594285
185.670004,187.950003,176.250002,178.190006,289414300,23.574265
179.260004,181.329998,171.999998,177.049994,301683900,23.423443
180.769999,181.99,177.799997,181.169994,226729300,23.968513
182.750004,186.429995,181.839996,186.429995,197476300,24.664403
187.410004,187.950003,183.719999,187.009995,185994900,24.741136
186.760002,188.199995,185.5,186.690001,161796600,24.698801
187.450005,189.539999,187.380003,188.749994,152546100,24.971335
188.600004,189.650002,184.530005,186.1,169960000,24.620745
186.860004,188.199995,182.339994,185.369997,187630100,24.524167
184.020006,187.089996,183.230001,185.190006,181745900,24.500354
186.340006,189.840006,185.700005,189.429996,188861400,25.061299
188.000004,189.949995,185.550001,185.640003,241605700,24.559888
184.789997,184.940001,175.750004,181.610004,472098200,24.026726
180.510006,186.780003,179.019999,185.640003,285235300,24.559888
184.34,185.999998,179.589998,180.809999,240387700,23.920886
181.490002,182.6,171.200006,173.26,327083400,22.922033
171.640003,174.159994,165.310005,172.370007,336489300,22.804288
171.299995,177.9,169.069998,176.840002,262932600,23.395662
178.100004,181.99,177.410002,181.43,224914200,24.002911
181.120007,182.200005,177.35,178.750006,202867000,23.648352
178.550001,182.339994,176.800001,180.900002,197987300,23.932793
179.350006,181.000004,175,175.270006,222091800,23.187954
174.739994,175.879993,171.560001,173.159998,161445200,22.908803
172.370007,175.780005,171.630003,173.25,155486800,22.92071
174.610004,178.829994,173.880001,177.390001,161112700,23.468426
174.070005,174.839996,168.01,168.260006,217402500,22.260541
166.510006,170.570005,164.150005,170.089994,260562400,22.502646
170.189997,171.999998,166.619995,167.440001,171049200,22.152056
164.229994,174.719994,164.000002,174.680006,277820200,23.109897
175.200005,177.450003,168.180004,168.180004,209379800,22.249957
169.589996,172.170002,165.750002,170.119995,130840500,22.506615
173.159998,177.129995,171.899996,175.160004,205097900,23.1734
175.399996,179.700001,172.740002,179.549997,222087600,23.75419
180.199999,180.910002,174.139994,174.249996,223944000,23.053008
